"Frequency, Hz - Peaks",Magnitude (V) - Peaks,"Frequency, Hz - Signal",Magnitude (V) - Signal
,,116.88k,29.53614u
,,116.9k,30.35406u
,,116.92k,39.41959u
,,116.94k,46.8461u
,,116.96k,49.13979u
,,116.98k,52.73204u
,,117k,57.55059u
,,117.02k,61.16795u
,,117.04k,66.57426u
,,117.06k,70.59591u
,,117.08k,72.09769u
,,117.1k,75.31185u
,,117.12k,81.84851u
,,117.14k,86.94381u
,,117.16k,88.85166u
,,117.18k,91.25072u
,,117.2k,91.79786u
,,117.22k,90.79487u
,,117.24k,93.57554u
,,117.26k,100.4332u
,,117.28k,109.0064u
,,117.3k,114.6554u
,,117.32k,113.6871u
,,117.34k,109.0541u
,,117.36k,103.9406u
,,117.38k,101.6609u
,,117.4k,104.8053u
,,117.42k,108.1732u
,,117.44k,109.9193u
,,117.46k,114.2074u
,,117.48k,120.8024u
,,117.5k,126.5986u
,,117.52k,126.9397u
,,117.54k,124.179u
,,117.56k,126.7933u
,,117.58k,131.55u
,,117.6k,129.9607u
,,117.62k,127.1584u
,,117.64k,130.8101u
,,117.66k,136.6118u
,,117.68k,139.5548u
,,117.7k,140.8753u
,,117.72k,141.4968u
,,117.74k,141.3086u
,,117.76k,144.2844u
,,117.78k,149.8911u
,,117.8k,153.515u
,,117.82k,155.8648u
,,117.84k,156.5295u
,,117.86k,154.164u
,,117.88k,151.3093u
,,117.9k,149.6726u
,,117.92k,149.8611u
,,117.94k,151.0566u
,,117.96k,151.1493u
,,117.98k,152.2616u
,,118k,153.9967u
,,118.02k,152.3005u
,,118.04k,150.3037u
,,118.06k,154.4992u
,,118.08k,163.323u
,,118.1k,168.3497u
,,118.12k,167.1606u
,,118.14k,164.5336u
,,118.16k,164.0317u
,,118.18k,165.1333u
,,118.2k,163.2631u
,,118.22k,158.4291u
,,118.24k,155.4215u
,,118.26k,154.5061u
,,118.28k,153.9163u
,,118.3k,156.3913u
,,118.32k,161.2339u
,,118.34k,163.2011u
,,118.36k,163.4018u
,,118.38k,164.4126u
,,118.4k,162.0942u
,,118.42k,159.074u
,,118.44k,159.4919u
,,118.46k,159.0732u
,,118.48k,158.3856u
,,118.5k,157.0689u
,,118.52k,155.226u
,,118.54k,155.5071u
,,118.56k,156.9762u
,,118.58k,159.1693u
,,118.6k,159.9452u
,,118.62k,160.1013u
,,118.64k,163.6266u
,,118.66k,167.2562u
,,118.68k,165.29u
,,118.7k,161.3947u
,,118.72k,161.8418u
,,118.74k,163.7569u
,,118.76k,162.56u
,,118.78k,161.393u
,,118.8k,163.4928u
,,118.82k,167.941u
,,118.84k,172.4317u
,,118.86k,172.353u
,,118.88k,168.7734u
,,118.9k,168.0937u
,,118.92k,170.4112u
,,118.94k,170.2723u
,,118.96k,166.8316u
,,118.98k,162.7547u
,,119k,164.2579u
,,119.02k,171.1768u
,,119.04k,173.0593u
,,119.06k,170.8892u
,,119.08k,171.6802u
,,119.1k,170.5776u
,,119.12k,164.1085u
,,119.14k,161.5498u
,,119.16k,167.799u
,,119.18k,176.2573u
,,119.2k,180.3658u
,,119.22k,179.8201u
,,119.24k,178.4086u
,,119.26k,177.0837u
,,119.28k,176.449u
,,119.3k,177.6455u
,,119.32k,177.097u
,,119.34k,174.9031u
,,119.36k,173.7379u
,,119.38k,173.9894u
,,119.4k,178.1137u
,,119.42k,183.1652u
,,119.44k,183.2743u
,,119.46k,178.4666u
,,119.48k,172.6971u
,,119.5k,169.7253u
,,119.52k,170.8813u
,,119.54k,173.7364u
,,119.56k,174.4871u
,,119.58k,174.4298u
,,119.6k,173.9928u
,,119.62k,170.8727u
,,119.64k,168.5067u
,,119.66k,171.2686u
,,119.68k,174.8771u
,,119.7k,173.096u
,,119.72k,170.23u
,,119.74k,171.7235u
,,119.76k,173.3026u
,,119.78k,171.1076u
,,119.8k,167.2074u
,,119.82k,165.3578u
,,119.84k,167.4288u
,,119.86k,172.5147u
,,119.88k,178.2517u
,,119.9k,178.7582u
,,119.92k,172.5788u
,,119.94k,170.2298u
,,119.96k,172.8164u
,,119.98k,169.2382u
,,120k,161.6518u
,,120.02k,159.3281u
,,120.04k,159.5137u
,,120.06k,160.3679u
,,120.08k,163.4022u
,,120.1k,165.333u
,,120.12k,165.6917u
,,120.14k,168.0232u
,,120.16k,169.8756u
,,120.18k,168.204u
,,120.2k,168.1203u
,,120.22k,169.4409u
,,120.24k,169.5539u
,,120.26k,169.7867u
,,120.28k,166.4856u
,,120.3k,161.2098u
,,120.32k,159.8059u
,,120.34k,163.2061u
,,120.36k,166.4771u
,,120.38k,166.2355u
,,120.4k,165.6625u
,,120.42k,167.4813u
,,120.44k,169.4627u
,,120.46k,167.4159u
,,120.48k,166.094u
,,120.5k,167.3909u
,,120.52k,167.5039u
,,120.54k,166.154u
,,120.56k,164.6385u
,,120.58k,167.2988u
,,120.6k,172.4522u
,,120.62k,174.2807u
,,120.64k,171.8495u
,,120.66k,169.6535u
,,120.68k,173.5414u
,,120.7k,179.3705u
,,120.72k,179.6914u
,,120.74k,178.2239u
,,120.76k,179.1006u
,,120.78k,176.5118u
,,120.8k,172.2067u
,,120.82k,174.8824u
,,120.84k,182.7207u
