"Frequency, Hz - Peaks",Magnitude (V) - Peaks,"Frequency, Hz - Signal",Magnitude (V) - Signal
,,114.6k,159.5354u
,,114.62k,162.7038u
,,114.64k,168.2858u
,,114.66k,176.4629u
,,114.68k,184.4835u
,,114.7k,190.0849u
,,114.72k,189.7784u
,,114.74k,187.4931u
,,114.76k,191.9715u
,,114.78k,197.7453u
,,114.8k,197.0273u
,,114.82k,195.3349u
,,114.84k,197.5597u
,,114.86k,199.3372u
,,114.88k,202.1189u
,,114.9k,210.5708u
,,114.92k,215.7547u
,,114.94k,212.4098u
,,114.96k,209.2483u
,,114.98k,211.6223u
,,115k,214.9444u
,,115.02k,213.6775u
,,115.04k,212.2992u
,,115.06k,215.8852u
,,115.08k,220.4715u
,,115.1k,219.0163u
,,115.12k,211.8953u
,,115.14k,210.5196u
,,115.16k,216.2542u
,,115.18k,220.1321u
,,115.2k,220.9495u
,,115.22k,221.9976u
,,115.24k,222.5929u
,,115.26k,222.2956u
,,115.28k,223.2687u
,,115.3k,223.4808u
,,115.32k,220.6817u
,,115.34k,216.4185u
,,115.36k,212.8966u
,,115.38k,210.8216u
,,115.4k,209.1092u
,,115.42k,207.3615u
,,115.44k,209.2353u
,,115.46k,216.8719u
,,115.48k,221.3419u
,,115.5k,218.2393u
,,115.52k,216.1464u
,,115.54k,219.311u
,,115.56k,225.9296u
,,115.58k,232.6128u
,,115.6k,233.698u
,,115.62k,227.9643u
,,115.64k,221.0149u
,,115.66k,217.0233u
,,115.68k,213.8942u
,,115.7k,212.89u
,,115.72k,214.9109u
,,115.74k,214.4575u
,,115.76k,213.6226u
,,115.78k,213.9889u
,,115.8k,212.0448u
,,115.82k,211.9685u
,,115.84k,215.1792u
,,115.86k,215.4088u
,,115.88k,211.2364u
,,115.9k,202.4736u
,,115.92k,191.9766u
,,115.94k,189.3209u
,,115.96k,194.2018u
,,115.98k,196.9473u
,,116k,195.762u
,,116.02k,195.0522u
,,116.04k,195.9376u
,,116.06k,195.4761u
,,116.08k,190.3261u
,,116.1k,185.3178u
,,116.12k,183.561u
,,116.14k,178.2469u
,,116.16k,170.7622u
,,116.18k,168.2315u
,,116.2k,168.8618u
,,116.22k,167.1538u
,,116.24k,163.1147u
,,116.26k,162.8667u
,,116.28k,167.6117u
,,116.3k,170.9876u
,,116.32k,166.3062u
,,116.34k,155.0856u
,,116.36k,145.4468u
,,116.38k,139.7634u
,,116.4k,136.7781u
,,116.42k,136.4522u
,,116.44k,135.0156u
,,116.46k,126.9561u
,,116.48k,116.3214u
,,116.5k,110.6987u
,,116.52k,109.1794u
,,116.54k,106.6926u
,,116.56k,103.9755u
,,116.58k,101.8576u
,,116.6k,100.4133u
,,116.62k,104.7009u
,,116.64k,113.006u
,,116.66k,119.2161u
,,116.68k,126.2384u
,,116.7k,135.669u
,,116.72k,145.2156u
,,116.74k,157.7004u
,,116.76k,176.6777u
,,116.78k,200.2954u
,,116.8k,221.7377u
,,116.82k,241.4322u
,,116.84k,265.7943u
,,116.86k,293.3782u
,,116.88k,319.5246u
,,116.9k,343.4978u
,,116.92k,365.7871u
,,116.94k,386.9526u
,,116.96k,407.8696u
,,116.98k,426.9998u
,,117k,443.9027u
,,117.02k,461.5528u
,,117.04k,478.5685u
,,117.06k,490.7339u
,,117.08k,495.1601u
,,117.1k,494.3874u
,,117.12k,495.9443u
,,117.14k,502.5313u
,,117.16k,507.9893u
,,117.18k,508.3117u
,,117.2k,506.4263u
,,117.22k,500.982u
,,117.24k,493.9836u
,,117.26k,493.2869u
,,117.28k,491.5101u
,,117.3k,478.6475u
,,117.32k,464.433u
,,117.34k,457.8603u
,,117.36k,454.6203u
,,117.38k,449.5524u
,,117.4k,443.2554u
,,117.42k,439.3978u
,,117.44k,437.0596u
,,117.46k,430.7137u
,,117.48k,422.8307u
,,117.5k,420.7627u
,,117.52k,420.5301u
,,117.54k,415.4876u
,,117.56k,410.4856u
,,117.58k,408.9348u
,,117.6k,407.2575u
,,117.62k,404.5091u
,,117.64k,399.3123u
,,117.66k,392.4941u
,,117.68k,389.4557u
,,117.7k,388.1288u
,,117.72k,384.3809u
,,117.74k,381.3298u
,,117.76k,382.2u
,,117.78k,382.826u
,,117.8k,377.1132u
,,117.82k,370.6796u
,,117.84k,370.6396u
,,117.86k,371.471u
,,117.88k,368.42u
,,117.9k,366.8811u
,,117.92k,369.7923u
,,117.94k,373.7898u
,,117.96k,377.0868u
,,117.98k,377.9275u
,,118k,373.6444u
,,118.02k,366.7312u
,,118.04k,361.8997u
,,118.06k,358.3571u
,,118.08k,354.5557u
,,118.1k,351.4642u
,,118.12k,352.6055u
,,118.14k,357.1527u
,,118.16k,360.5729u
,,118.18k,362.3609u
,,118.2k,363.189u
,,118.22k,361.3576u
,,118.24k,357.2968u
,,118.26k,357.4352u
,,118.28k,359.2087u
,,118.3k,355.4322u
,,118.32k,349.3887u
,,118.34k,344.8597u
,,118.36k,344.8471u
,,118.38k,348.9477u
,,118.4k,352.5114u
,,118.42k,354.451u
,,118.44k,355.1432u
,,118.46k,356.9705u
,,118.48k,362.4485u
,,118.5k,365.9256u
,,118.52k,361.6809u
,,118.54k,354.6229u
,,118.56k,353.1577u
,,118.58k,357.7295u
,,118.6k,363.5611u
,,118.62k,367.8214u
,,118.64k,368.0918u
,,118.66k,365.7207u
,,118.68k,364.8991u
,,118.7k,365.9588u
,,118.72k,368.0727u
,,118.74k,368.8649u
,,118.76k,367.4643u
,,118.78k,366.2942u
,,118.8k,364.2346u
,,118.82k,364.8597u
,,118.84k,370.7544u
,,118.86k,373.5058u
,,118.88k,372.0009u
,,118.9k,370.3072u
,,118.92k,367.733u
,,118.94k,367.7433u
,,118.96k,371.4876u
,,118.98k,372.8148u
,,119k,373.958u
,,119.02k,377.1289u
,,119.04k,375.5537u
,,119.06k,372.6109u
,,119.08k,375.0551u
,,119.1k,378.9067u
,,119.12k,380.8518u
,,119.14k,382.107u
,,119.16k,381.875u
,,119.18k,379.5465u
,,119.2k,378.0652u
,,119.22k,379.8184u
,,119.24k,383.0106u
,,119.26k,385.1494u
,,119.28k,386.8131u
,,119.3k,388.5747u
,,119.32k,389.4034u
,,119.34k,391.1023u
,,119.36k,396.7762u
,,119.38k,402.9187u
,,119.4k,404.0908u
,,119.42k,403.2991u
,,119.44k,404.0492u
,,119.46k,403.9842u
,,119.48k,404.3097u
,,119.5k,407.5526u
,,119.52k,414.1549u
,,119.54k,419.6215u
,,119.56k,419.2251u
,,119.58k,420.4237u
,,119.6k,426.1857u
,,119.62k,430.2115u
,,119.64k,432.7214u
,,119.66k,435.3569u
,,119.68k,436.983u
,,119.7k,436.6661u
,,119.72k,435.9959u
,,119.74k,439.8973u
,,119.76k,445.5049u
,,119.78k,446.2558u
,,119.8k,445.2516u
,,119.82k,447.0563u
,,119.84k,451.6382u
,,119.86k,456.5799u
,,119.88k,458.3907u
,,119.9k,457.8003u
,,119.92k,459.414u
,,119.94k,464.4917u
,,119.96k,469.9812u
,,119.98k,473.9122u
,,120k,478.1321u
,,120.02k,485.0357u
,,120.04k,494.7554u
,,120.06k,503.9216u
,,120.08k,508.0529u
,,120.1k,509.3335u
,,120.12k,510.0533u
,,120.14k,509.5899u
,,120.16k,513.204u
,,120.18k,519.6147u
,,120.2k,521.0122u
,,120.22k,519.5989u
,,120.24k,517.4843u
,,120.26k,517.2063u
,,120.28k,524.3437u
,,120.3k,534.1972u
,,120.32k,541.6495u
,,120.34k,548.9125u
,,120.36k,556.8943u
,,120.38k,561.8252u
,,120.4k,562.3581u
,,120.42k,563.012u
,,120.44k,567.8192u
,,120.46k,578.0308u
,,120.48k,588.8984u
,,120.5k,592.7826u
,,120.52k,593.9256u
,,120.54k,598.8187u
,,120.56k,603.8025u
,,120.58k,608.1623u
,,120.6k,612.6779u
,,120.62k,617.5482u
,,120.64k,624.3712u
,,120.66k,629.2718u
,,120.68k,632.4504u
,,120.7k,638.8142u
,,120.72k,647.0031u
,,120.74k,654.2715u
,,120.76k,660.2103u
,,120.78k,662.7131u
,,120.8k,663.8296u
,,120.82k,670.5474u
,,120.84k,681.175u
,,120.86k,689.783u
,,120.88k,696.0832u
,,120.9k,702.0278u
,,120.92k,708.5829u
,,120.94k,713.9069u
,,120.96k,717.0895u
,,120.98k,722.6575u
