"Frequency, Hz - Peaks",Magnitude (V) - Peaks,"Frequency, Hz - Signal",Magnitude (V) - Signal
,,117.46k,201.4093u
,,117.48k,219.3006u
,,117.5k,238.6246u
,,117.52k,255.755u
,,117.54k,274.4552u
,,117.56k,298.5689u
,,117.58k,325.2457u
,,117.6k,349.0616u
,,117.62k,367.6847u
,,117.64k,385.5901u
,,117.66k,404.6572u
,,117.68k,421.4807u
,,117.7k,433.9734u
,,117.72k,442.676u
,,117.74k,451.0879u
,,117.76k,456.7241u
,,117.78k,457.2903u
,,117.8k,456.2369u
,,117.82k,455.384u
,,117.84k,452.3182u
,,117.86k,444.6661u
,,117.88k,437.2419u
,,117.9k,434.3549u
,,117.92k,433.4619u
,,117.94k,430.3908u
,,117.96k,425.1546u
,,117.98k,419.0817u
,,118k,411.3595u
,,118.02k,406.2134u
,,118.04k,404.6542u
,,118.06k,401.5066u
,,118.08k,398.8959u
,,118.1k,399.1553u
,,118.12k,398.4352u
,,118.14k,393.7207u
,,118.16k,385.3458u
,,118.18k,376.5245u
,,118.2k,369.1886u
,,118.22k,363.7252u
,,118.24k,364.3569u
,,118.26k,368.1551u
,,118.28k,368.2734u
,,118.3k,366.3416u
,,118.32k,362.7729u
,,118.34k,357.8696u
,,118.36k,354.3804u
,,118.38k,350.8946u
,,118.4k,347.079u
,,118.42k,340.2011u
,,118.44k,331.8883u
,,118.46k,333.479u
,,118.48k,341.9285u
,,118.5k,345.1702u
,,118.52k,343.7184u
,,118.54k,343.1059u
,,118.56k,343.2873u
,,118.58k,346.7207u
,,118.6k,353.6009u
,,118.62k,353.3487u
,,118.64k,346.245u
,,118.66k,343.5191u
,,118.68k,344.076u
,,118.7k,342.6296u
,,118.72k,343.4779u
,,118.74k,348.5419u
,,118.76k,352.9765u
,,118.78k,354.4197u
,,118.8k,352.0693u
,,118.82k,346.3798u
,,118.84k,340.8358u
,,118.86k,339.4065u
,,118.88k,341.2428u
,,118.9k,342.4681u
,,118.92k,342.2619u
,,118.94k,343.5972u
,,118.96k,346.4663u
,,118.98k,347.1345u
,,119k,346.5786u
,,119.02k,345.6028u
,,119.04k,342.2177u
,,119.06k,339.5129u
,,119.08k,339.1706u
,,119.1k,337.2706u
,,119.12k,335.9707u
,,119.14k,338.6735u
,,119.16k,341.4186u
,,119.18k,341.21u
,,119.2k,338.7118u
,,119.22k,337.167u
,,119.24k,338.3277u
,,119.26k,337.0765u
,,119.28k,332.7774u
,,119.3k,331.6272u
,,119.32k,333.8127u
,,119.34k,333.5363u
,,119.36k,326.7763u
,,119.38k,319.7398u
